"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ILYA.BRYZGALOV","2009-2010","ARI",69,3041.41,1411,100,92.91,92.87,0.04,97.92,92.41,78.35,0.55
"ILYA.BRYZGALOV","2010-2011","ARI",68,3142,1572,105,93.32,92.63,0.69,98.26,93.21,80.61,10.89
"ILYA.BRYZGALOV","2011-2012","PHI",59,2568.69,1205,96,92.03,92.27,-0.24,97.67,92.42,77.23,-2.86
"ILYA.BRYZGALOV","2012-2013","PHI",40,1751.18,818,75,90.83,92.5,-1.67,98.37,89.3,75.5,-13.63
"ILYA.BRYZGALOV","2013-2014","EDM/MIN",32,1422.56,679,49,92.78,92.28,0.5,96.6,92.41,83.97,3.4
"ILYA.BRYZGALOV","2014-2015","ANA",8,275.71,122,14,88.52,92.3,-3.77,100,90.48,60,-4.6
"JACK.CAMPBELL","2018-2019","L.A",31,1273.13,677,45,93.35,92.45,0.9,98.83,92.59,79.17,6.11
"JACOB.MARKSTROM","2011-2012","FLA",7,312.46,168,13,92.26,92.86,-0.6,98.72,90.16,79.31,-1.01
"JACOB.MARKSTROM","2012-2013","FLA",23,1044.62,560,49,91.25,92.46,-1.21,95.64,92.59,76.04,-6.79
"JACOB.MARKSTROM","2013-2014","FLA/VAN",16,650.83,286,34,88.11,91.79,-3.67,97.41,90.65,66.67,-10.51
"JACOB.MARKSTROM","2015-2016","VAN",32,1471.38,754,61,91.91,91.96,-0.05,96.89,92.1,80.14,-0.37
"JACOB.MARKSTROM","2016-2017","VAN",25,1119.77,531,43,91.9,92.16,-0.25,97.39,93.4,76.92,-1.35
"JACOB.MARKSTROM","2017-2018","VAN",59,2690.89,1370,105,92.34,92.49,-0.16,97.43,91.77,79.76,-2.16
"JACOB.MARKSTROM","2018-2019","VAN",60,2858.28,1528,122,92.02,91.76,0.26,97.94,90.6,80.07,3.92
"JAKE.ALLEN","2012-2013","STL",15,631.05,277,26,90.61,91.56,-0.95,99.16,92.16,69.64,-2.62
"JAKE.ALLEN","2014-2015","STL",37,1638.32,702,56,92.02,92.08,-0.05,97.62,89.93,83.85,-0.38
"JAKE.ALLEN","2015-2016","STL",47,2057.52,953,68,92.86,92.83,0.04,98.42,91.2,81.55,0.36
"JAKE.ALLEN","2016-2017","STL",61,2747.67,1271,95,92.53,92.87,-0.34,97.56,91.84,79.53,-4.33
